Tweet,Sentiment
The crew of missionaries aboard the Sibia ( left to right ) : Ron Parkin ,Positive
Then at dusk we rang the ship bell ,Neutral
It was lovely to see how seriously some of them took their assignment ,Positive
When we arrived ,Neutral
So I said to myself ,Neutral
After three weeks I proposed ,Neutral
Maxine and I were assigned as missionaries to Puerto Rico ,Neutral
I asked one of the little girls ,Negative
We bought her a pair ,Neutral
She was about to leave for her assignment in Ecuador ,Neutral
I am the little girl from Pastillo who had no shoes ,Negative
Father did not accept the truth when Mother and I did ,Neutral
I am really looking forward to seeing her again in the resurrection ,Positive
Some who come to see me want to discuss personal or family problems ,Neutral
Everything we do at Bethel is sacred service ,Neutral
Wherever we serve Jehovah ,Neutral
Leonard Smith life story appeared in The Watchtower of April 15 ,Neutral
Why can it be said that marriage is a gift from God ?,Neutral
How would you describe the history of marriage from the time of Adam to Jesus  day ?,Neutral
What can help a Christian to decide whether to get married ?,Positive
 What could the first man and woman have realized about marriage ?,Positive
An important purpose of marriage was to populate the earth .,Positive
What can we learn from Adam and Eve responses to Jehovah ?,Neutral
How would you explain Genesis 3 : 15 ?,Neutral
 What has happened to marriage since the rebellion of Adam and Eve ?,Neutral
 What does the Bible require of husbands and wives ?,Neutral
What is the history of marriage from the time of Adam to the Flood ?,Neutral
What did Jehovah do to the wicked in Noah day ,Neutral
 How did Abraham and Sarah set a good example in their marriage ?,Positive
How did the Mosaic Law protect the Israelites ?,Neutral
 In the Christian congregation ,Neutral
Paul added : “ If they do not have self - control ,Neutral
 What will the following article discuss ?,Neutral
What responsibilities did God give husbands and wives ?,Neutral
Why are love and tenderness very important in a marriage ?,Positive
How can the Bible help if there are problems in a marriage ?,Neutral
Although marriage usually begins with joy ,Positive
What kinds of love should marriage mates show ?,Positive
How strong should love be in a marriage ?,Positive
Paul wrote : “ Husbands ,Neutral
( Read John 13 : 34 ,Neutral
4 ,Neutral
( b ) How should a wife view headship ?,Neutral
( c ) What adjustments did one married couple need to make ?,Positive
I am going to make a helper for him ,Neutral
Marriage was an adjustment for me as I learned to rely on my husband .,Neutral
It has not always been easy ,Positive
In marriage ,Neutral
But by seeking Jehovahs guidance in prayer and really listening to my wifes input ,Positive
I feel that we are a real team ! ”,Positive
How does love serve as “ a perfect bond of union ” when problems develop in a marriage ?,Positive
7 ,Neutral
( b ) Why do marriage mates need to show tenderness ?,Neutral
( Read 1 Corinthians 7 : 3 - 5 . ),Positive
Sexual relations should never be forced or demanded but should come naturally .,Positive
Why is sexual interest in anyone who is not ones own marriage mate unacceptable ?,Positive
10 ,Neutral
( b ) What does the Bible say about separation ?,Neutral
( c ) What will help a marriage mate not to separate quickly ?,Positive
What may lead a marriage mate to consider separation ?,Neutral
What does the Bible say to Christians married to mates who are not worshippers of Jehovah ?,Positive
( Read 1 Corinthians 7 : 12 - 14 . ),Neutral
Or ,Neutral
15 ,Neutral
( b ) What is the position of a Christian “ if the unbelieving one chooses to depart ” ?,Neutral
The apostle Peter counsels Christian wives to be in subjection to their husbands ,Neutral
What if an unbelieving marriage mate chooses to separate ?,Neutral
The Bible says : “ If the unbelieving one chooses to depart ,Neutral
What should be the first priority of Christian married couples ?,Positive
Why is it possible for Christians to have a happy and successful marriage ?,Positive
[ 1 ] ( paragraph 5 ) Names have been changed .,Neutral
[ 2 ] ( paragraph 13 ) See the book “ Keep Yourselves in God Love ,Positive
What a pleasure it is to give a witness in the morning hours along the Danube River !,Neutral
These happy publishers are sharing the Kingdom message with an appreciative listener at Vigadó Square in Budapest ,Positive
What can you do to make spiritual progress ?,Neutral
How can you progress spiritually without growing weary ?,Neutral
What adjustments might make you more effective in the ministry ?,Positive
1 ,Neutral
( b ) What needs now exist in the earthly part of Jehovah organization ?,Neutral
“ THE little one will become a thousand and the small one a mighty nation . ”,Negative
What does making spiritual progress mean to you ?,Negative
How can young people use their strength in Kingdom service ?,Positive
6 - 8 . ( a ) How did one young man change his view of God service ,Positive
( b ) How can we “ taste and see that Jehovah is good ” ?,Positive
Because of his blessing ,Neutral
( Read Psalm 34 : 8 - 10 . ),Neutral
Why is it important for you to have “ a waiting attitude ” ?,Positive
What spiritual qualities can we work to develop ,Neutral
How can members of the congregation prove themselves trustworthy ?,Neutral
How can you follow Joseph example if others treat you unfairly ?,Negative
What can you do if others treat you unfairly ?,Negative
14 ,Neutral
( b ) How might you adjust to changing conditions ?,Neutral
( See opening picture and the box “ Are You Willing to Try a Different Method ? ” ),Positive
How can public witnessing prove to be effective ?,Positive
17 ,Neutral
( b ) Why do you find David spirit in praising Jehovah valuable as you engage in the ministry ?,Neutral
He says : “ During our family worship ,Neutral
We also ask other Witnesses for suggestions . ”,Negative
( Read 1 Timothy 4 : 15 . ),Neutral
They will proclaim the glory of your kingship and speak about your mightiness ,Neutral
If you are entrusted with more work in Jehovah organization ,Positive
Now Venecia says : “ Phone witnessing works ! ”,Neutral
My wife died three years ago ,Neutral
After two years ,Neutral
Why should we build in Bible students a strong desire to study the Scriptures personally ?,Positive
How can we help new ones to converse with householders and others ?,Positive
Why should efforts be made to train prospective shepherds of God flock ?,Neutral
Why must we train others to take up theocratic assignments ?,Neutral
3 ,Neutral
( b ) Before we encourage our students to study the Bible on their own ,Positive
Give a suggestion on how to help new ones to have a routine of personal Bible study .,Positive
You may ask ,Neutral
Encourage him to read every issue of The Watchtower and Awake !,Neutral
( a ) How can you help your student to cultivate love for the Bible in his heart ?,Positive
( b ) What is a Bible student likely to do if he develops heartfelt love for the Scriptures ?,Positive
How did Jesus train proclaimers of the good news ?,Positive
8 ,Neutral
( b ) How can we help new publishers to converse with people as Jesus did ?,Positive
10 - 12 . ( a ) How did Jesus cultivate the interest others showed in the good news ?,Positive
( b ) How can we help new publishers to improve their skills as teachers of Bible truth ?,Positive
13 ,Neutral
( b ) In what practical ways can you train new publishers and young ones to show love for their brothers and sisters ?,Positive
Dorcas “ abounded in good deeds and gifts of mercy . ”,Positive
Why is it important that elders take an interest in the progress of men in the congregation ?,Positive
16 ,Neutral
( b ) How can the elders effectively train future shepherds of the congregation ?,Positive
Why should training others in Jehovah service be important to us ?,Positive
Why should you be convinced that your diligent efforts to train others in Jehovah service will be successful ?,Positive
It is in vain that they keep worshipping me ,Neutral
You let go of the commandment of God and cling to the tradition of men ,Neutral
 Do Not Let Your Hands Drop Down ”,Negative
How did Jehovah strengthen the hands of Moses ,Neutral
In what practical ways can we strengthen the hands of our brothers and sisters ?,Neutral
( b ) What might cause our hands to drop down ?,Negative
The hand ,Neutral
How can you be motivated and strengthened to endure and have joy ?,Positive
However ,Neutral
( b ) How did God respond to Nehemiah prayer ?,Neutral
( Read Nehemiah 1 : 10 ; 2 : 17 - 20 ; 6 : 9 . ),Neutral
Do you believe that Jehovah uses his “ great power ” and “ mighty hand ” to strengthen his servants today ?,Positive
10 ,Neutral
( b ) What does Jehovah use to strengthen us and give us power ?,Neutral
He uses lies and threats from governments ,Neutral
13 ,Neutral
Prayer and personal study have been like a life jacket that has kept my head above water .,Neutral
And the support of my spiritual brothers and sisters has brought me much comfort .,Positive
I have come to realize the importance of developing a good personal relationship with Jehovah before difficult situations arise . ”,Positive
How does God train us to fight our enemies ?,Neutral
He also helps us through our Bible - based publications ,Neutral
How do we avoid being conquered by the evil ?,Negative
( b ) Which Bible characters will we consider ?,Neutral
What helped Jacob to persevere ,Neutral
( Read Genesis 32 : 24 - 28 . ),Neutral
How were two Christians helped to control wrong desires ?,Negative
This young person also benefited from the article “ Alternative Life - Styles ​ — Does God Approve ? ”,Positive
“ For that reason ,Neutral
I am very grateful to Jehovah for using his organization to help us survive each day in this wicked system . ”,Positive
Consider also the experience of a sister in the United States .,Neutral
She writes : “ I want to thank you for always feeding us with just what we need and at the right time .,Positive
I often feel that these articles are written just for me .,Neutral
For years ,Neutral
At times ,Neutral
I know that Jehovah is merciful and forgiving ,Neutral
This ongoing battle has affected every aspect of my life . . . .,Neutral
After reading the article  Do You Have “ a Heart to Know ” Jehovah ? ,Neutral
in The Watchtower of March 15 ,Neutral
( a ) How did Paul feel about his struggles ?,Neutral
What can we learn about clothing from God Law to the Israelites ?,Neutral
What can help Christians to make good decisions about how to dress ?,Positive
When especially do we need to wear appropriate clothing ?,Positive
Of course ,Neutral
( Read 1 Corinthians 10 : 32 ,Neutral
What are some factors that may affect whether a brother wears a beard ?,Neutral
The Mosaic Law required men to wear a beard .,Neutral
In fact ,Neutral
Even so ,Neutral
What effect should our dress and grooming have on others ?,Neutral
A brother in Germany wrote : “ My teachers view the Bible account of creation as a myth .,Neutral
And they take it for granted that the students believe in evolution . ”,Neutral
A young sister in France said : “ Teachers in my school are quite astonished that there are students who still believe in the Bible . ”,Positive
and The Origin of Life ​ — Five Questions Worth Asking ,Positive
I have studied those brochures about a dozen times . ”,Neutral
They show that the greatest engineers may imitate but will never equal the complex designs in nature . ”,Positive
Why does God want you to use your power of reason ?,Neutral
( Read Romans 12 : 1 ,Neutral
And many of them lived at different times and did not know one another personally . ”,Positive
I literally had to stop and contemplate how incredible that prophetic Passover meal was ! ”,Positive
“ Honesty like that is rare ,Positive
“ This adds to our confidence that the Bible truly is from Jehovah . ”,Neutral
( Read Psalm 19 : 7 - 11 . ),Neutral
A young sister in Japan wrote : “ When my family applied Bible teachings ,Positive
We experienced peace ,Positive
And some stop believing in God because they are disappointed with religion .,Negative
He added : “ One is struck by the complexity of even the simplest form of life . ”,Neutral
He wrote : “ Every house is constructed by someone ,Neutral
Why is it so important to know your children well ?,Positive
Our children acquire it little by little . ”,Negative
He asks : ‘ What does the Bible say ? ’,Neutral
‘ Do you believe what it says ? ’,Neutral
He wants me to answer in my own words and not simply repeat his or Mum’s words .,Positive
As I got older ,Positive
They answered all my questions ,Neutral
( Read Deuteronomy 6 : 5 - 8 ; Luke 6 : 45 . ),Neutral
So if life evolved from simple to more complex forms ,Positive
It was a lesson that deeply impressed me and that I shared with my son . ”,Positive
Then she asked each of the boys to make her a cup of coffee .,Neutral
“ They took great care ,Positive
“ When I asked them why they were so careful ,Negative
I explained that God mixed the gases in the atmosphere with similar care ​ — just right for us . ”,Positive
And how would you compare the sound of an airplane to the singing of a bird ?,Positive
So who is more intelligent ​ — the maker of airplanes or the Creator of birds ? ”,Positive
( Read Psalm 1 : 1 - 3 . ),Neutral
“ Never tire of experimenting with new ways to approach old subjects ,Positive
“ From the time they were very young ,Positive
Over time ,Neutral
That’s why it’s important for parents just to keep teaching . ”,Positive
Let your children see how real Jehovah is to you .,Positive
“ We also tell our older daughter ,Positive
When she sees the outcome ,Neutral
This has done wonders for her faith in God and in the Bible . ”,Neutral
The first article shows how our faith can grow and remain strong .,Positive
Let me explain what led to that conversation .,Neutral
I WAS born in Wichita ,Neutral
Then a soldier walked by ,Neutral
The soldier could see that the man was drunk ,Negative
He owned two barbershops in Wichita ,Neutral
With my parents ,Neutral
With Jehovah’s blessing and their zealous work ,Neutral
The brother also sold my car for $ 25 .,Neutral
We were assigned to special pioneer in Walnut Ridge ,Positive
Then in 1962 ,Neutral
In the ministry in Nairobi with Mary and Chris Kanaiya,Neutral
Soon after ,Neutral
We would also go camping with them and would have very enjoyable conversations around the campfire .,Positive
We arranged to have some who were in the full - time ministry stay in our home .,Positive
They were shocked and started to cry and said that they wanted to study .,Negative
With the help and direction of God’s organization ,Neutral
On a later trip ,Neutral
So they did stay free until they were at least 23 .,Positive
At the same time ,Neutral
The day after we left for the Watchtower Educational Center in Patterson ,Positive
Next ,Neutral
In 2006 ,Neutral
Paul and Stephany are still in Malawi ,Neutral
Why might we need to adjust our view of strangers ?,Neutral
When I left the airport and felt the cold for the first time in my life ,Negative
Greek - speaking Jews complained that their widows were not being treated fairly .,Positive
Whether we realize it or not ,Neutral
( Read 1 Peter 1 : 22 . ),Neutral
Be patient with those who are adjusting to a new country .,Positive
At first ,Positive
What example of respect and gratitude can immigrants imitate today ?,Neutral
First ,Positive
[ 1 ] ( paragraph 1 ) Name has been changed .,Neutral
Are you among those who are learning another language ?,Neutral
( Read Nehemiah 13 : 23 ,Neutral
( b ) How can we reach our goal ?,Neutral
We must recognize that when we prepare for the ministry ,Neutral
Since my mind is mainly involved in an intellectual exercise ,Positive
That is why I regularly set aside time to study the Bible and other publications in my mother tongue . ”,Negative
“ It annoyed him to go out in the ministry in another language ,Negative
“ When we realized that this situation had hindered our son from making spiritual advancement ,Negative
Make sure that the truth reaches the hearts of your children ( See paragraphs 14 ,Positive
But we also include practice sessions and games in Lingala so that they can learn this language while having fun . ”,Positive
Make an effort to learn the local language and to participate in the meetings ( See paragraphs 16 ,Neutral
We also set the goal of attending a meeting in French once a month ,Neutral
( Read Romans 15 : 1 ,Neutral
How can we show our love for God’s Word ?,Positive
Brothers working business territory witness to a mechanic in an auto repair garage .,Neutral
“ Faith is the assured expectation of what is hoped for . ” ​ — HEB .,Neutral
( Read Revelation 21 : 3 - 6 . ),Positive
How did Abraham and his family keep their faith strong ?,Positive
( Read 1 John 5 : 14 ,Neutral
What trials did some of the prophets endure because of their faith ?,Neutral
Others ,Neutral
How does Noah’s example help us to understand what it means to have faith ?,Neutral
In what ways must we exercise our faith ?,Neutral
( b ) What questions will we now consider ?,Neutral
In what two ways does Hebrews 11 : 1 describe faith ?,Neutral
You see that his faith was active along with his works and his faith was perfected by his works . ”,Negative
For example ,Neutral
Compared with love ,Positive
James asked his anointed brothers : “ Did not God choose those who are poor from the world’s standpoint to be rich in faith and heirs of the Kingdom ,Negative
While men were sleeping ,Neutral
When the stalk sprouted and produced fruit ,Neutral
Include a letter stating that the donation is conditional .,Neutral
Since legal requirements and tax laws vary ,Positive
Wills and Trusts : Property or money may be bequeathed to an entity used by Jehovah’s Witnesses by means of a legally executed will or by specifying the entity as the beneficiary of a trust agreement .,Positive
As the term “ charitable planning ” implies ,Positive
What hope did Jehovah give his people ,Neutral
Would the Israelites ever again be able to worship God in a completely acceptable way ?,Positive
So it does not really seem that Jehovah’s people entered into captivity to Babylon the Great in 1918 .,Positive
( Read 1 Peter 2 : 9 ,Neutral
( Read Matthew 13 : 24 ,Neutral
Would true Christians ever be free to worship God openly and acceptably ?,Positive
When were the anointed freed from Babylonian captivity ?,Neutral
Brother Rutherford requested that we arrange conventions in several cities in the western United States and send speakers to try to encourage the friends as much as possible . ”,Neutral
“ If you have any word of encouragement for the people ,Neutral
So I cry often and prefer not to talk to them .,Neutral
He listened with sympathy as I expressed my feelings .,Neutral
Then he reminded me of the good I was accomplishing .,Positive
He also reminded me of Jesus ’ words ​ — that each of us is worth more than many sparrows .,Positive
I often recall that scripture ,Neutral
( b ) What will we consider in this article ?,Neutral
What can we learn from the way Jehovah ,Neutral
( Read Ecclesiastes 4 : 9 ,Neutral
What can we learn from the way Jesus treated his apostles ?,Neutral
After going through those regions and giving many words of encouragement to the ones there ,Positive
( Read Hebrews 10 : 24 ,Neutral
( Read 1 Thessalonians 5 : 12 ,Neutral
They are a real source of encouragement . ”,Positive
Andreas ,Neutral
Even though our kids know what is right ,Positive
( Read Luke 21 : 1 - 4 ; 2 Corinthians 8 : 12 . ),Neutral
( Read Revelation 2 : 18 ,Neutral
I want you to know that when you spoke in such a kind way ,Positive
[ 1 ] ( paragraph 1 ) Some names have been changed .,Neutral
( b ) What will we discuss in this article ?,Neutral
