Tweet,Sentiment
Wetin we go do to show sey we really know sey  Jehovah our God na one Jehovah  ?,positive
Plenty village wey people fit catch fish dey Trinidad and Tobago area ,neutral
Jehovah Witness people dey use this chance take preach to people wey dem meet for there ,neutral
How Bible take show sey all of us dey make mistake ?,neutral
Wetin we fit do about our mistake and other people own ?,negative
Wetin Bible talk about Jehovah people wey dey happen now ?,neutral
E show sey their hand clean  Acts 20 : 26 ,positive
Why e fit surprise person sey Jehovah people dey plenty ?,positive
Why e be sey sometimes people dey do wetin dey pain us ?,negative
If you dey stay Israel that time wey Eli and im pikin dem dey ,neutral
How e be sey Eli no correct im pikin dem ?,negative
Which bad things David do ,negative
Wetin happen wey show sey apostle Peter no do wetin e talk ?,negative
Why you believe sey Jehovah go always do the correct thing ?,positive
Wetin Jesus know about wetin Judas and Peter do ?,positive
Wetin Bible talk about people wey dey serve Jehovah for our time ?,positive
If some of God servant make mistake ,neutral
Which promise we no want forget ?,neutral
Wetin Jesus talk sey make we do when other people make mistake ?,positive
Wetin you go do if other people make mistake ?,neutral
As Jehovah take all im mind forgive una ,positive
E no hard to know the answer to all this question ,neutral
We fit see am from wetin Bible talk about deep sense and good sense ,positive
Proverbs 3 : 13 to 15 talk sey :  The man wey don see the good sense wey e dey find go happy and even the man wey get deep sense ; to get am better pass to get silver ,positive
E better pass coral stone ; you no fit take anything take compare am ,positive
As na me be manager for the company ,neutral
As I come learn wetin dey Bible ,positive
My two pikin fit learn from me and now ,positive
The tax people and other people wey I dey follow do business ,neutral
Ruth even pack follow am go Israel ,positive
You don take time read the Watchtower wey never tey wey we print ?,positive
For all the way wey God don show us favor ,positive
How we go take show sey sin no dey rule us again but na favor ?,negative
Which blessing we dey get because of Jehovah favor ?,neutral
I no get right to pay all the people wey work for me anything wey I want ?,neutral
Why and how Jehovah don take show human being favor ?,neutral
Wetin Bible mean when e sey Jehovah dey show us im favor for  different different way  ?,neutral
Apostle Peter write sey :  As the gift take reach una hand one by one ,positive
Apostle John write sey : From the surplus wey im get ,positive
How we take dey gain from Jehovah favor ? And how we fit thank am for this one ?,positive
Wetin we dey enjoy because of God favor ?,neutral
Different different way wey Jehovah take dey show us favor : We don get the chance to hear the good news,positive
How the people wey go follow Jesus rule dey make  other sheep  come sabi wetin good ?,neutral
The chance wey we get to pray ,positive
How prayer dey show sey Jehovah get favor ?,neutral
How favor fit help us when we need help  ?,positive
How Jehovah favor take dey make our mind come down ?,positive
Which hope we get because of God favor ?,positive
How some of the first people wey be Christian take God favor play ?,negative
Wetin Jehovah favor suppose make us do ?,positive
Wetin we go learn for the next topic ?,neutral
Preach well about the good news of God favor  ACTS 20 : 24 ,positive
Wetin the favor wey Jehovah dey show us suppose make us do ?,neutral
How the good news about God Kingdom  take show sey God dey show us favor ?,positive
How Jehovah go take show us im favor for the new world ?,positive
How apostle Paul take show sey e dey thank God for the favor wey God show am ?,positive
APOSTLE Paul talk true when e sey :  The favor wey God show me no be for nothing ,positive
Why we fit talk sey good news about God Kingdom na the same thing with good news about God favor  ?,positive
How e be sey we dey talk about the good news of God favor when we dey tell people about the ransom ?,neutral
Why human being need to settle with God ?,neutral
Apostle John write sey :  The person wey dey show sey e get faith for the Son get life wey no go end ; the person wey dey do wetin the Son no like no go see life ,positive
Why e be sey na good news for people to know sey dem fit pray to Jehovah ?,positive
Many people dey like to pray because e dey make their mind come down but dem no really believe sey God dey hear their prayer .,positive
We suppose let dem know sey Jehovah  dey hear prayer ,positive
David write sey :  You wey dey hear prayer ,neutral
Jesus tell im disciple dem sey : If una use my name beg for anything ,positive
Which kind work dem go do for us that time ?,neutral
How Jehovah go take show  other sheep  im favor for the new world ?,neutral
God go still resurrect many many people wey no know am before dem die ,positive
John write sey :  I see the people wey don die ,positive
But dem come open another scroll ; na the scroll of life ,positive
Dem judge people wey don die from the things wey dem write inside the scrolls ,positive
And river bring out people wey don die for inside ,positive
Wetin we no suppose forget as we dey preach ?,neutral
Bible talk sey :  The things wey God don make ,positive
E still talk sey : Write this thing wey I dey tell you because wetin I talk na true ,positive
As we dey use every chance take dey preach this good news give other people ,positive
Continue to dey put God Kingdom first ,positive
How e be sey wetin we need different from wetin we want ?,neutral
Why e good make we no dey buy everything wey we like or see ?,neutral
Why you dey sure sey Jehovah go give you wetin you need every day ?,neutral
How Satan take dey use  wetin our eye like  dey deceive us ?,neutral
Wetin fit happen to person wey dey use all im life pursue money and other things ?,neutral
Wetin be the next thing wey we go talk about ,positive
Wetin Jesus know about us and wetin we need ?,neutral
When Jesus teach im disciple how to pray ,positive
Wetin we learn from the way Jehovah dey take care of bird ?,neutral
Make we look the bird dem wey dey fly for up well well ,positive
Wetin show sey we better pass bird ?,neutral
Wetin Jehovah sabi about us one one ,positive
Why e no good to dey worry about something wey never happen ?,neutral
E get anything wey you fit do to fit do more for God work ?,neutral
Which kind plan fit help you do more for God work ?,neutral
Wetin you fit do to make your life simple ?,neutral
Wetin go help us near Jehovah pass before ?,neutral
Give example wey show why e good to know wetin time be and wetin dey happen for where we dey ,Positive
Wetin make Jesus tell im disciple dem sey make dem  continue to dey watch  ?,Neutral
Why we no dey take Jesus warning play ?,Neutral
Why we believe sey ,Neutral
Even if we no know when great tribulation go start ,Positive
Give one example wey show sey everything wey Jehovah promise dey always happen when e suppose happen .,Positive
Everything wey Jehovah don promise ,Positive
Why we sure sey Jehovah go save im people ?,Positive
Give example of wetin fit happen if sleep catch watchman as e dey do im work ?,Neutral
Wetin many people today no know ?,Positive
Why you dey sure sey Devil don block people mind make dem no believe wetin Bible talk ?,Neutral
Why we no go let Devil deceive us ?,Neutral
Jesus warn us sey :  Make una ready because na the time wey una no think sey e go be ,Positive
Wetin this world dey make people do ? Wetin we go do if we no want make e affect us ?,Neutral
Which warning dey Luke 21 : 34 ,Neutral
Wetin happen to Peter ,Neutral
Wetin we go do to ready ourself for wetin go happen for front ?,Positive
Check chapter 21 for the book God Kingdom Rules !,Neutral
No worry because I be your God .,Negative
For one assembly ,Neutral
We come go the territory go preach and e give me small small book wey talk about God Kingdom ,Neutral
One sister use Bible and the book The Harp of God take teach us Bible lesson .,Neutral
When I dey between 13 and 19 years ,Neutral
The brother stop im bicycle ,Negative
E sey :  Na you dey judge who be goat ?,Neutral
Make e sweet us to dey preach the good news give people ; na that one concern us . Na Jehovah go judge . ,Positive
Another brother wey senior me still teach me sey ,Positive
Na that time we know sey the priest dem dey control the area ,Positive
Body sweet me because I never use boat travel before ,Neutral
Na five years we use preach for different different island wey Jehovah Witness people no dey ,Neutral
The missionary brothers for on top the boat ( Sibia ) ( from left go right ) : Ron Parkin ,Positive
Then when evening reach ,Neutral
Some of dem no dey take this work wey we give dem play . E dey make us happy ,Positive
When we reach Puerto Rico I see one fine sister wey be missionary and I come love am . Im name na Maxine Boyd .,Neutral
Na im I tell myself sey ,Neutral
After three weeks I come tell Maxine sey I want marry am ,Neutral
Me and Maxine come do missionary work together for Puerto Rico ,Neutral
I come ask one of the small girls wey im name na Hilda ,Negative
When we come buy shoe for am ,Neutral
The sister don dey prepare to go where dem send am go for Ecuador . E tell us sey :  Una remember me so ?,Neutral
Na me be that small girl for Pastillo wey no get shoe ,Negative
My papa no join Jehovah Witness the time wey me and my mama join ,Neutral
E dey do me like sey make resurrection just reach so that I go see am again ,Positive
Some people wey dey come visit me want talk about wetin dey worry dem for mind or about family problem ,Neutral
Everything wey we dey do for Bethel na to worship Jehovah .,Neutral
Anywhere wey we stay dey serve Jehovah ,Neutral
The story about Leonard Smith life dey for The Watchtower of April 15 ,Neutral
Why we fit talk sey marriage na gift wey Jehovah give us ?,Neutral
How marriage be from Adam time go reach Jesus time ?,Neutral
Wetin fit help person wey dey serve Jehovah choose whether e go marry ?,Positive
Because God use Adam rib make the first woman ,Positive
One thing wey make marriage dey ,Positive
Wetin we fit learn from how Adam and Eve take answer Jehovah ?,Neutral
How you go take explain wetin dey Genesis 3 : 15 ?,Neutral
Wetin don dey happen to marriage since Adam and Eve do wetin Jehovah no like ?,Neutral
Wetin Bible sey make husband and wife dey do ?,Neutral
From Adam time go reach Noah time ,Neutral
Wetin Jehovah do the bad people for Noah time ? And wetin this one teach us ?,Neutral
How Abraham and Sarah take show better example for their marriage ?,Positive
How the Law wey Jehovah give Israel people that time take protect dem ?,Neutral
For our time how God want make marriage be ?,Neutral
E still sey :  But if dem no fit control theirself ,Neutral
Wetin we go learn for our next topic ?,Neutral
Wetin God want make husband and wife dey do ?,Neutral
Wetin make love good for marriage ?,Positive
How Bible fit help husband and wife if dem get problem ?,Neutral
Even if marriage dey sweet when e start ,Positive
Wetin be the different kind of love wey husband and wife suppose get for each other ?,Positive
How the love wey dey marriage suppose strong reach ?,Positive
Paul write sey : Husband ,Neutral
( Read John 13 : 34 ,Neutral
4 ,Neutral
( b ) How wife suppose see im husband ?,Neutral
( c ) Wetin be the change wey one husband and wife make for their marriage ?,Positive
I go make person wey go help am ,Neutral
E sey :  When I never marry ,Neutral
E still sey :  No be every time e easy ,Positive
Now wey we be two ,Neutral
But as I dey pray and dey listen to wetin my wife dey talk ,Positive
I know sey we be one ! ,Positive
Why we fit talk sey love  dey join everything together to make am complete  ?,Positive
7 ,Neutral
( b ) Why e good make husband and wife know how the other person dey feel and wetin e need ?,Neutral
( Read 1 Corinthians 7 : 3 - 5 . ),Positive
3 : 7 ) E no good make dem force each other but make their body first move dem to do am .,Positive
Why e bad to  eye  person wey no be our husband or wife ?,Positive
10 ,Neutral
( b ) Wetin Bible talk about people wey don marry wey want leave their husband or wife go stay their own ?,Neutral
( c ) Wetin go help dem no quick do this one ?,Positive
Wetin fit make some people wey don marry to want leave their husband or wife go stay their own ?,Neutral
Wetin Bible talk about Jehovah servant wey im husband or wife no dey serve Jehovah ?,Positive
( Read 1 Corinthians 7 : 12 - 14 . ),Neutral
Or ,Neutral
15 ,Neutral
( b ) Wetin Jehovah servant go do  if the one wey no dey serve God sey e want stay im own  ?,Neutral
Apostle Peter advise sisters wey don marry sey make dem dey respect their husband ,Neutral
What if the husband or wife wey no dey serve Jehovah want leave the marriage go stay im own ?,Neutral
Bible talk sey :  But if the one wey no dey serve God sey e want stay im own ,Neutral
Wetin be the first thing wey husband and wife go do ?,Positive
Why e be sey people wey dey serve Jehovah fit enjoy their marriage ?,Positive
[ 1 ] ( paragraph 5 ) No be their real name be that .,Neutral
[ 2 ] ( paragraph 13 ) Go check the topic “ The Bible View on Divorce and Separation ,Positive
E dey sweet person to preach for morning near Danube River !,Neutral
See as this publishers dey happy as dem dey preach to person wey like the message for Vigadó Square for Budapest ,Positive
Wetin you go do to fit dey do well as you dey serve Jehovah ?,Neutral
Wetin go help you continue to do well so that you no go tire to wait ?,Neutral
Wetin you fit do make you fit dey preach well pass as you dey preach now ?,Positive
1 ,Neutral
( b ) Wetin we need now for inside congregation ?,Neutral
 THE one wey no reach anything go turn to one thousand and the one wey small go turn to big country . ,Negative
Wetin e mean for you to do well for God work ?,Negative
How young people fit use their power for God work ?,Positive
6 - 8 . ( a ) Wetin help one young brother change how e dey feel about Jehovah work and wetin e gain ?,Positive
( b ) How we go fit see by ourself sey Jehovah good ?,Positive
Because Jehovah don bless me ,Neutral
( Read Psalm 34 : 8 - 10 . ),Neutral
Why e good make you  no tire to wait ?,Positive
Which kind character go help us ? Wetin make this character good ?,Neutral
How brothers and sisters for congregation fit show sey person fit trust dem ?,Neutral
Like Joseph ,Negative
Wetin you go do if person no treat you well ?,Negative
14 ,Neutral
( b ) How your area fit make you change the way you dey preach ?,Neutral
( Go check the first picture and the box “ Try Use Another Way Take Preach . ” ),Positive
Wetin we fit do to get better result when we dey preach for open place ?,Positive
17 ,Neutral
( b ) Wetin you learn ,Neutral
E talk sey na the research wey im and im wife dey do for their family worship . Dem go find different different way wey dem fit answer different people wey no want listen to dem .,Neutral
And dem still dey meet other publishers wey go tell dem wetin dem fit talk .,Negative
( Read 1 Timothy 4 : 15 . ),Neutral
Dem go talk about how you dey rule as king and talk about the power wey you get ,Neutral
If Jehovah organization give you more work ,Positive
This na wetin Venecia come talk : “ To use phone preach dey work o ! ”,Neutral
E don reach three years wey my wife die ,Neutral
Now ,Neutral
Why e good make we teach our Bible student how to do personal study ?,Positive
How we go take help new ones sabi preach to people ?,Positive
Why e good make we dey train people wey fit be overseer for congregation ?,Neutral
Why we suppose train people wey go dey handle things for congregation ?,Neutral
3 ,Neutral
( b ) Before we go fit help our Bible student dey do personal Bible study ,Positive
How you think sey we fit help our Bible student to arrange their time well for personal Bible study ?,Positive
You fit come ask sey ,Neutral
Tell am make e try dey read Watchtower and Awake ! as dem dey come out .,Neutral
( a ) Wetin you fit do to help your student like Bible well well ?,Positive
( b ) How your student go feel if e don like Bible well well ?,Positive
How Jesus take train people to sabi preach and teach ?,Positive
8 ,Neutral
( b ) Wetin we fit do to help new publishers to sabi talk with people like Jesus ?,Positive
10 - 12 . ( a ) How Jesus take show sey e ready to help people wey want learn Bible ?,Positive
( b ) Wetin we fit do to help new publishers to know how to teach and preach wetin dey Bible ?,Positive
13 ,Neutral
( b ) How we fit help new publisher and our pikin dem know why e good to help people for congregation ?,Positive
20 : 28 ) Dorcas  dey always do good and e like to help people wey no get . ,Positive
Why e good make elders help the brothers wey dey congregation ?,Positive
16 ,Neutral
( b ) Wetin elders fit do to train brothers wey go be overseer for congregation ?,Positive
Why e good make we train people to do Jehovah work ? Why e good to train people ?,Positive
Why we get the mind sey people wey we train go do well ?,Positive
Dem dey worship me for nothing ,Neutral
Una don leave God law come dey hold people tradition tight  ,Neutral
No let Your Hand Weak ,Negative
How Jehovah take make Moses ,Neutral
Wetin we go do to show sey we dey make our brothers and sisters hand strong ?,Neutral
( b ) Wetin fit make our hand weak ?,Negative
Na many times Bible use hand as example .,Neutral
How you go take get the mind to bear the problem and still dey happy ?,Positive
But when Moses hand dey heavy am and im hand don dey come down ,Neutral
( b ) How Jehovah take answer Nehemiah prayer ?,Neutral
( Read Nehemiah 1 : 10 ; 2 : 17 - 20 ; 6 : 9 . ),Neutral
You believe sey today Jehovah dey use im  strong power  and  strong hand  help im servant ?,Positive
10 ,Neutral
( b ) Wetin Jehovah dey use give us power ?,Neutral
From government ,Neutral
13 ,Neutral
Prayer and personal study don help me fit manage my problem .,Neutral
Brothers and sisters for congregation still help me well well .,Positive
I come see sey e good make person dey near Jehovah well well before problem come . ”,Positive
How God take dey train us to fight our enemy ?,Neutral
E still dey use our book ,Neutral
Wetin we go do if we no want make bad thing win us ?,Negative
( b ) Which people example we go talk about ?,Neutral
Wetin help Jacob continue to fight ,Neutral
( Read Genesis 32 : 24 - 28 . ),Neutral
Wetin help one young person and one sister control the bad thing wey dem dey think ?,Negative
This young person still gain from another topic wey be “ Alternative Life - Styles — Does God Approve ? ”,Positive
E come sey : “ Because of that one ,Neutral
I thank Jehovah sey e dey use im organization dey help us do wetin e like every day even for this wicked world . ”,Positive
Make we still see the example of one sister for United States .,Neutral
E write sey e thank Jehovah organization for wetin dem dey always teach us ; the things dey come the right time and na wetin we need .,Positive
E sey : “ I dey always feel sey dem dey write all the topic for me .,Neutral
Many years don pass wey I don dey fight one thing wey Jehovah hate .,Neutral
Sometimes ,Neutral
I know sey Jehovah dey pity person and e dey forgive . But because I no stop to dey think bad thing and I no see am as bad thing ,Neutral
This fight don affect everything for my life . . . .,Neutral
After I read the topic wey be  Do You Have “ a Heart to Know ” Jehovah ? ,Neutral
wey dey March 15 ,Neutral
( a ) Wetin Paul talk about wetin e dey fight with ?,Neutral
From the Law wey God give Israel people ,Neutral
Wetin fit help Christian choose better cloth wey dem go wear ?,Positive
Which time e important pass to wear better cloth ?,Positive
2 : 10 ) The truth be sey ,Neutral
( Read 1 Corinthians 10 : 32 ,Neutral
Wetin fit help brother know whether e go keep beard beard ?,Neutral
For the Law wey Jehovah give Israel people ,Neutral
Even self ,Neutral
But even with that one ,Neutral
If we dey dress well ,Neutral
One brother for Germany write sey : “ Teachers for my school believe sey when Bible talk sey na God make everything ,Neutral
And dem think sey all their student believe sey God no dey . ”,Neutral
One young sister for France talk sey : “ Teachers for my school dey surprise sey some student still believe wetin dey Bible . ”,Positive
and The Origin of Life — Five Questions Worth Asking ,Positive
I don read dem many times . ”,Neutral
The topic show sey engineer wey sabi book well well fit copy wetin God don make ,Positive
Why Jehovah want make you use your sense think ?,Neutral
( Read Romans 12 : 1 ,Neutral
And many of dem no live for the same time and dem no know each other .,Positive
E come make me see sey the blood and the body of the animal wey dem kill for that Passover ,Positive
( 2 Sam . 12 : 1 - 14 ; Mark 14 : 50 ) One young brother for Britain talk sey : “ E hard to see people wey dey talk true like that today .,Positive
And this one come make us dey sure sey true true na Jehovah get Bible . ”,Neutral
( Read Psalm 19 : 7 - 11 . ),Neutral
One young sister for Japan write sey : “ As my family start to follow wetin dey Bible ,Positive
We come get peace ,Positive
And some people don stop to believe sey God dey ,Negative
E still talk sey : “ E fit surprise person to know sey even small things get many many part inside dem . ”,Neutral
E write sey : ‘ Every house get who build am ,Neutral
Why e good to know the kind pikin wey you get ?,Positive
Na small small our pikin go take get faith . ”,Negative
E go ask me : ‘ Wetin Bible talk ? ’,Neutral
‘ You believe wetin e talk ? ’,Neutral
E want make I talk wetin dey my mind no be just wetin im or my mama talk .,Positive
As I come dey grow ,Positive
Dem come use Bible answer all my question . ”,Neutral
( Read Deuteronomy 6 : 5 - 8 ; Luke 6 : 45 . ),Neutral
So ,Positive
Na something wey really touch me and I tell my pikin . ”,Positive
E give two of dem separate separate milk ,Neutral
E sey : “ Dem sofri do am .,Positive
When I come ask dem why dem sofri do am ,Negative
I come tell dem sey na so Jehovah take make this earth . E sofri do am ,Positive
The kind sound wey aeroplane dey make if e dey pass and the one wey bird dey make when e dey sing ,Positive
So ,Positive
( Read Psalm 1 : 1 - 3 . ),Neutral
One papa talk sey : “ No tire to find new new way to teach old topic . ”,Positive
From when dem small ,Positive
But as time dey go ,Neutral
Na wetin make e good make papa and mama no tire to teach . ”,Positive
Make your pikin see sey you really trust Jehovah .,Positive
“ We still tell our senior pikin sey ,Positive
When e see the result ,Neutral
This one done make im faith for God and Bible strong well well . ”,Neutral
For the first topic ,Positive
Make I talk wetin happen before e call me .,Neutral
NA December 10 ,Neutral
As one soldier dey pass ,Neutral
The soldier know sey the man don drink ,Negative
My papa get two barbing salon ,Neutral
The time wey me ,Neutral
Jehovah bless their preaching work ,Neutral
The brothers and sisters come contribute money for us and the brother wey help us that time still sell my motor for $ 25 .,Neutral
Dem come send us go Walnut Ridge for Arkansas as special pioneer .,Positive
For 1962 ,Neutral
When we dey preaching with Mary and Chris Kanaiya for Nairobi,Neutral
After one year and five months ,Neutral
We still dey travel with dem go inside bush ,Positive
We arrange make some people wey dey do full - time work for Jehovah stay our house sometimes .,Positive
Dem surprise ,Negative
Jehovah and im organization really help us . We do wetin we fit do to help dem love Jehovah .,Neutral
When dem travel again ,Neutral
So two of dem wait until dem reach or pass 23 years .,Positive
Na that same time dem invite Brian and Kimberly to come work for the Bethel wey dey London . Dem come later transfer dem go the Bethel wey dey Malawi .,Neutral
The next day ,Positive
After ,Neutral
For 2006 ,Neutral
My second pikin Stephany and im husband Paul ,Neutral
Why e good to dey look stranger with better eye ?,Neutral
When I comot for airport ,Negative
The brothers wey dey speak Greek come dey complain sey dem no dey treat their sisters wey their husband don die well .,Positive
1 :⁠ 22 ) Whether we believe am or we no believe am ,Neutral
( Read 1 Peter 1 : 22 . ),Neutral
7 : 12 ) E no dey easy for people wey come from another place to quick master how things be for our place ,Positive
E fit hard us the first time to sabi how dem dey think or how dem dey behave .,Positive
Which better example people wey come from another place fit copy ?,Neutral
How ? ( 1 ) E respect how dem take dey do things for im new place na im make e beg make dem let am gather wetin remain .,Positive
[ 1 ] ( paragraph 1 ) No be im real name be that .,Neutral
( Rev . 14 :⁠ 6 ) You dey learn another language ?,Neutral
( Read Nehemiah 13 : ​ 23 ,Neutral
( b ) How we go take do am ?,Neutral
1 : ​ 9 ,Neutral
As e be sey wetin dey my mind na to learn the language ,Positive
Na im make I dey arrange time to study Bible and other publication for my own language . ”,Negative
Muriel talk sey : “ Before ,Negative
Serge sey : “ When we see sey our pikin no dey do well again ,Negative
